nickname,teams,player_id,age,country,rating
string,string,continuous,continuous,Argentina Australia Belarus Belgium Bosnia\ and\ Herzegovina Brazil Bulgaria Canada China Czech\ Republic Denmark Estonia Finland France Germany Guatemala Hong\ Kong Hungary Indonesia Israel Jordan Kazakhstan Korea Kosovo Latvia Lithuania Malaysia Mexico Mongolia Montenegro Netherlands New\ Zealand North\ Macedonia Norway Poland Portugal Romania Russia Serbia Singapore Slovakia South\ Africa Spain Sweden Switzerland Taiwan Thailand Turkey Ukraine United\ Kingdom United\ States Uruguay Uzbekistan,continuous
meta,meta,,,,
ZywOo,"Vitality, aAa",11893.0,21.0,France,1.32
s1mple,Natus Vincere,7998.0,24.0,Ukraine,1.25
sh1ro,"Gambit Youngsters, Gambit",16920.0,21.0,Russia,1.26
deko,1WIN,20113.0,21.0,Russia,1.23
saffee,"FURIA, paiN",18835.0,27.0,Brazil,1.22
Kaze,"ViCi, Flash, MVP.karnal",8950.0,28.0,Malaysia,1.19
degster,"Espada, Spirit",17306.0,21.0,Russia,1.21
smooya,"BIG, Movistar Riders, Epsilon",11271.0,22.0,United Kingdom,1.2
sterling,"AVANT, Looking For Org, Dire Wolves",12591.0,24.0,New Zealand,1.2
XANTARES,"Eternal Fire, Space Soldiers, BIG",7938.0,26.0,Turkey,1.17
SENSEi,"CR4ZY, Project X, Akuma, Run or Die",18227.0,23.0,Ukraine,1.21
torzsi,"MOUZ, Budapest Five, MOUZ NXT, Salamander",18072.0,20.0,Hungary,1.18
device,"Astralis, TSM",7592.0,26.0,Denmark,1.16
DANK1NG,"TYLOO, EHOME",16207.0,22.0,China,1.2
NiKo,"G2, FaZe, MOUZ",3741.0,25.0,Bosnia and Herzegovina,1.15
blameF,"Astralis, Complexity, Heroic, Epsilon",15165.0,25.0,Denmark,1.22
BnTeT,"TYLOO, Gen.G, EXTREMUM",7131.0,26.0,Indonesia,1.15
coldzera,"SK, FaZe, Luminosity, MIBR",9216.0,27.0,Brazil,1.15
Sico,"ORDER, Renegades, Grayhound, Kings",9102.0,27.0,New Zealand,1.15
XigN,"NKT, MVP PK, MVP Project",9172.0,25.0,Korea,1.14
KSCERATO,FURIA,15631.0,22.0,Brazil,1.18
Benkai,"BOOT-d[S], BOOT, dream[S]cape",8944.0,25.0,Singapore,1.14
Texta,"Chiefs, Athletico, Dark Sided",11847.0,21.0,Australia,1.21
Jame,"AVANGAR, Virtus.pro",13776.0,23.0,Russia,1.17
XELLOW,Nexus,9626.0,21.0,Romania,1.13
mhL,"MOUZ NXT, AGO",16847.0,20.0,Poland,1.17
oskar,"MOUZ, SINNERS, HellRaisers",798.0,31.0,Czech Republic,1.13
El1an,"Entropiq, Winstrike, EPG",13281.0,23.0,Russia,1.17
kennyS,"G2, Envy, Titan",7167.0,27.0,France,1.13
Freeman,"ViCi, TYLOO",10774.0,23.0,Hong Kong,1.16
mantuu,"OG, ALTERNATE aTTaX, PANTHERS",10981.0,24.0,Poland,1.16
huNter-,"G2, Valiance, Binary Dragons",3972.0,26.0,Bosnia and Herzegovina,1.12
frozen,"MOUZ, eXtatus",9960.0,20.0,Slovakia,1.12
vsm,"DETONA, 00NATION",16816.0,23.0,Brazil,1.18
chelleos,"Rooster, madlikewizards, Paradox",12877.0,22.0,New Zealand,1.2
erkaSt,"Grayhound, TIGER, Immunity",11141.0,27.0,Mongolia,1.17
yuurih,FURIA,12553.0,22.0,Brazil,1.18
woxic,"Eternal Fire, HellRaisers, MOUZ, DarkPassage",8574.0,23.0,Turkey,1.12
liTTle,"forZe, RuSh3D, Spartak, Enso",1088.0,33.0,Russia,1.12
INS,"ORDER, Renegades, Chiefs, Tainted Minds",11140.0,23.0,Australia,1.19
kNgV-,"MIBR, INTZ",5736.0,29.0,Brazil,1.12
ropz,MOUZ,11816.0,22.0,Estonia,1.15
Jamppi,"SJ, ENCE",14087.0,21.0,Finland,1.15
wrath,"New Identity, Secret Club, BlackOut",9884.0,20.0,United States,1.12
dream3r,"SKADE, E-frag.net, Fiend",8412.0,25.0,Bulgaria,1.11
PTC,"Lucid Dream, 5POWER",13238.0,23.0,Thailand,1.14
xsepower,"K23, forZe",12733.0,24.0,Russia,1.15
zorte,"forZe, Unique",15662.0,24.0,Russia,1.15
Twistzz,"FaZe, Liquid",10394.0,22.0,Canada,1.11
splashske,"BOOT-d[S], HZ, BOOT, dream[S]cape",8943.0,23.0,Singapore,1.11
dgt,9z,14736.0,21.0,Uruguay,1.15
GuardiaN,"Natus Vincere, FaZe",2757.0,31.0,Slovakia,1.11
oSee,"Extra Salt, Singularity, Cloud9",13249.0,23.0,United States,1.15
ottoNd,"HAVU, Valiance, CR4ZY, c0ntact",11283.0,24.0,Finland,1.15
FREDDyFROG,"Chaos, Red Reserve, Apeks, Japaleno, Galaxy Racer",9277.0,29.0,Sweden,1.11
NEOFRAG,SINNERS,15821.0,21.0,Czech Republic,1.18
Brehze,"Evil Geniuses, NRG",9136.0,24.0,United States,1.1
TenZ,"Bad News Bears, ATK",13254.0,21.0,Canada,1.15
Infinite,Party Astronauts,14619.0,24.0,United States,1.16
CeRq,"Evil Geniuses, NRG, Outlaws",11219.0,22.0,Bulgaria,1.14
f0rest,"NIP, Dignitas",29.0,34.0,Sweden,1.1
Olivia,"Beyond, Alpha Red, Signature",10664.0,24.0,Thailand,1.13
nawwk,"Apeks, GamerLegion, NIP, x6tence Galaxy",13670.0,24.0,Sweden,1.12
poizon,"Complexity, Windigo, Bpro",12126.0,23.0,Bulgaria,1.14
dumau,"GODSENT, Yeah",15698.0,18.0,Brazil,1.16
mertz,"North Academy, Heroic, North, Nordavind, Singularity",9895.0,23.0,Denmark,1.1
h4rn,"FATE, Fiend",20097.0,22.0,Bulgaria,1.14
WARDELL,"Ghost, Bee's Money Crew, Orgless",11264.0,24.0,Canada,1.13
mir,"Spirit, Vega Squadron, Gambit",8789.0,26.0,Russia,1.1
