nickname,teams,player_id,birth_date,country,rating
Friis,"SK, fnatic, Heroic, Tricked",7,1990-03-27,DNK,1.01
f0rest,"NIP, Dignitas",29,1989-06-22,SWE,1.1
GeT_RiGhT,NIP,39,1991-08-02,SWE,1.09
pronax,"fnatic, GODSENT",41,1992-06-13,SWE,0.89
BARBARR,"Epsilon, x6tence Galaxy, Singularity",44,1991-02-25,SWE,0.99
gob b,"BIG, MOUZ, NRG",136,1988-05-21,DEU,0.85
SIXER,"LDLC, Envy",147,1992-05-28,FRA,1.0
MAJ3R,"Space Soldiers, Sangal",150,1992-10-27,TUR,0.96
TaZ,"HONORIS, Virtus.pro, Kinguin",161,1987-09-03,POL,0.95
NEO,"Virtus.pro, HONORIS",165,1988-06-11,POL,0.95
nak,"Sharks, RED Canids",169,1988-01-23,BRA,0.92
Savage,"VG.CyberZen, ViCi, CyberZen, 5POWER",180,1990-01-06,CHN,1.08
n0thing,"Cloud9, Complexity",203,1992-12-25,USA,1.02
glow,MVP PK,205,1989-03-28,KOR,1.01
JACKZ,"G2, EnVyUs Academy, 3DMAX",284,1993-11-18,FRA,0.98
kUcheR,"HellRaisers, Virtus.pro",302,1990-10-03,RUS,0.97
starix,"Natus Vincere, Spirit",303,1989-12-15,UKR,0.96
pashaBiceps,"Virtus.pro, ESC",317,1989-04-05,POL,1.02
Kairi,"x6tence, PENTA",329,1989-10-12,ESP,0.96
AdreN,"Gambit, HellRaisers, K23",334,1991-08-08,KAZ,0.98
markeloff,"FlipSid3, HellRaisers",338,1989-08-15,UKR,0.99
ANGE1,HellRaisers,339,1991-10-25,UKR,0.99
arki,SAW,356,1991-08-05,ESP,0.92
karrigan,"FaZe, MOUZ, TSM",429,1991-02-21,DNK,0.91
B1ad3,FlipSid3,472,1988-05-13,UKR,0.83
Edward,Natus Vincere,483,1989-04-26,UKR,1.0
Zeus,Natus Vincere,484,1989-04-19,UKR,0.92
hooch,"EPG, Gambit",499,1988-04-22,RUS,0.9
MODDII,"Heroic, SK",545,1990-04-01,SWE,1.0
BIT,"TeamOne, 9z",555,1991-02-17,BRA,0.98
fnx,"Imperial, Luminosity, SK, Immortals, RED Canids, Não Tem Como",557,1991-05-09,BRA,1.02
