nickname,teams,Unnamed: 0,player_id,age,country,rating
string,string,continuous,continuous,continuous,ARG AUS BEL BGR BIH BLR BRA CAN CHE CHN CZE DEU DNK ESP EST FIN FRA GBR GTM HKG HUN IDN ISR JOR KAZ KOR LTU LVA MEX MKD MNE MNG MYS NLD NOR NZL POL PRT ROU RUS SGP SRB SVK SWE THA TUR TWN UKR URY USA UZB XKX ZAF,continuous
meta,meta,,,,,
ZywOo,"Vitality, aAa",0.0,11893.0,21.0,FRA,1.32
s1mple,Natus Vincere,1.0,7998.0,24.0,UKR,1.25
sh1ro,"Gambit Youngsters, Gambit",2.0,16920.0,21.0,RUS,1.26
deko,1WIN,3.0,20113.0,21.0,RUS,1.23
saffee,"FURIA, paiN",4.0,18835.0,27.0,BRA,1.22
Kaze,"ViCi, Flash, MVP.karnal",5.0,8950.0,28.0,MYS,1.19
degster,"Espada, Spirit",6.0,17306.0,21.0,RUS,1.21
smooya,"BIG, Movistar Riders, Epsilon",7.0,11271.0,22.0,GBR,1.2
sterling,"AVANT, Looking For Org, Dire Wolves",8.0,12591.0,24.0,NZL,1.2
XANTARES,"Eternal Fire, Space Soldiers, BIG",9.0,7938.0,26.0,TUR,1.17
SENSEi,"CR4ZY, Project X, Akuma, Run or Die",10.0,18227.0,23.0,UKR,1.21
torzsi,"MOUZ, Budapest Five, MOUZ NXT, Salamander",11.0,18072.0,20.0,HUN,1.18
device,"Astralis, TSM",12.0,7592.0,26.0,DNK,1.16
DANK1NG,"TYLOO, EHOME",13.0,16207.0,22.0,CHN,1.2
NiKo,"G2, FaZe, MOUZ",14.0,3741.0,25.0,BIH,1.15
blameF,"Astralis, Complexity, Heroic, Epsilon",15.0,15165.0,25.0,DNK,1.22
BnTeT,"TYLOO, Gen.G, EXTREMUM",16.0,7131.0,26.0,IDN,1.15
coldzera,"SK, FaZe, Luminosity, MIBR",17.0,9216.0,27.0,BRA,1.15
Sico,"ORDER, Renegades, Grayhound, Kings",18.0,9102.0,27.0,NZL,1.15
